1,3,5
1,50,4
1,2,5
1,10,4
1,41,2
1,37,3
1,47,3
1,24,4
1,56,2
1,36,3
1,38,2
1,43,1
1,39,3
1,61,2
1,45,2
1,21,5
1,42,1
1,55,2
1,23,4
1,1,5
1,7,4
1,59,2
1,49,5
1,54,5
1,18,4
2,1,4
2,27,5
2,2,5
2,59,3
2,31,5
2,7,4
2,18,5
2,40,1
2,41,3
2,64,2
2,22,5
2,65,2
2,13,5
2,19,5
2,12,5
2,3,5
2,36,1
2,24,4
2,20,4
2,10,5
2,15,4
2,42,2
2,38,2
2,57,3
2,26,4
3,14,4
3,65,3
3,61,2
3,26,4
3,46,1
3,40,1
3,43,3
3,5,5
3,29,5
3,53,4
3,27,4
3,47,1
3,21,4
3,51,5
3,9,5
3,59,1
3,4,4
3,68,1
3,20,4
3,39,2
3,48,1
3,11,4
3,62,2
3,56,1
3,3,5
4,27,4
4,55,3
4,41,3
4,30,4
4,9,5
4,15,4
4,44,3
4,48,2
4,63,2
4,53,5
4,37,1
4,31,4
4,24,5
4,22,5
4,2,5
4,34,1
4,28,4
4,40,2
4,21,4
4,29,5
4,38,2
4,50,5
4,43,2
4,64,1
4,8,4
5,2,4
5,12,4
5,39,2
5,5,5
5,59,1
5,11,5
5,57,1
5,45,3
5,35,1
5,64,2
5,52,5
5,48,3
5,9,5
5,25,5
5,42,2
5,23,5
5,31,5
5,53,4
5,68,3
5,40,2
5,37,2
5,67,3
5,38,2
5,8,4
5,51,5
6,2,4
6,50,5
6,68,3
6,8,5
6,43,1
6,52,4
6,45,1
6,54,5
6,48,2
6,5,4
6,67,1
6,66,2
6,38,2
6,57,1
6,19,5
6,26,4
6,62,2
6,22,5
6,40,2
6,56,2
6,35,1
6,24,5
6,47,3
6,4,4
6,33,1
7,36,1
7,32,2
7,33,2
7,24,5
7,51,5
7,1,5
7,9,5
7,38,3
7,10,4
7,20,5
7,2,5
7,17,4
7,27,5
7,30,4
7,58,1
7,29,5
7,43,1
7,56,2
7,49,5
7,50,5
7,57,2
7,28,4
7,35,2
7,55,2
7,40,3
8,28,4
8,15,5
8,14,4
8,46,1
8,68,3
8,30,5
8,45,3
8,20,5
8,63,1
8,44,1
8,65,3
8,38,2
8,23,4
8,12,5
8,54,5
8,13,4
8,16,4
8,42,2
8,21,5
8,47,3
8,11,5
8,53,5
8,62,2
8,64,3
8,66,2
9,34,3
9,53,4
9,60,3
9,46,2
9,14,5
9,40,1
9,47,3
9,68,2
9,3,4
9,1,5
9,38,1
9,13,4
9,4,5
9,35,1
9,6,4
9,27,4
9,57,2
9,50,4
9,28,4
9,18,4
9,11,5
9,63,1
9,45,1
9,21,5
9,52,5
10,5,4
10,1,5
10,59,2
10,17,4
10,49,5
10,56,2
10,33,2
10,44,1
10,46,1
10,40,1
10,41,1
10,50,4
10,19,4
10,24,4
10,52,5
10,48,1
10,53,5
10,58,1
10,4,5
10,30,5
10,28,5
10,55,2
10,35,2
10,62,3
10,8,5
11,15,5
11,51,5
11,16,4
11,46,3
11,49,4
11,12,4
11,45,1
11,22,5
11,26,4
11,68,1
11,35,1
11,27,5
11,10,4
11,65,2
11,54,5
11,7,5
11,3,4
11,1,5
11,37,3
11,6,5
11,19,4
11,67,3
11,63,1
11,61,1
11,24,4
12,23,4
12,50,5
12,47,3
12,46,2
12,12,4
12,13,4
12,33,3
12,61,2
12,3,4
12,8,4
12,17,5
12,6,4
12,42,1
12,32,3
12,35,3
12,5,5
12,65,2
12,39,1
12,29,5
12,59,3
12,45,2
12,20,5
12,19,4
12,14,5
12,24,4
13,12,4
13,60,2
13,63,1
13,40,1
13,61,2
13,53,5
13,47,3
13,6,5
13,42,2
13,62,2
13,32,2
13,64,3
13,44,1
13,7,5
13,65,2
13,13,5
13,27,5
13,8,5
13,54,5
13,39,3
13,55,3
13,20,5
13,57,2
13,35,1
13,52,4
14,48,1
14,2,4
14,11,4
14,65,1
14,18,4
14,6,4
14,30,5
14,34,3
14,56,2
14,5,4
14,28,4
14,50,4
14,36,3
14,33,3
14,54,5
14,31,5
14,7,5
14,53,5
14,15,4
14,68,3
14,47,1
14,21,5
14,23,5
14,55,2
14,12,4
15,64,3
15,21,5
15,5,5
15,27,4
15,40,2
15,33,2
15,45,3
15,62,2
15,4,4
15,8,4
15,31,4
15,3,5
15,1,5
15,11,4
15,58,2
15,36,1
15,48,3
15,68,2
15,55,3
15,15,4
15,39,2
15,56,3
15,23,4
15,10,5
15,60,1
16,38,2
16,14,5
16,2,5
16,22,5
16,60,1
16,25,5
16,68,1
16,52,5
16,33,2
16,29,4
16,31,5
16,63,2
16,12,5
16,6,4
16,18,4
16,55,3
16,39,1
16,7,5
16,27,5
16,54,5
16,62,1
16,32,2
16,67,2
16,23,4
16,66,2
17,26,4
17,44,1
17,23,5
17,6,4
17,49,4
17,37,2
17,48,3
17,53,5
17,1,5
17,7,5
17,61,1
17,62,2
17,39,2
17,38,1
17,22,5
17,10,5
17,19,5
17,60,3
17,52,4
17,12,4
17,67,2
17,68,3
17,50,5
17,40,2
17,5,5
18,11,4
18,39,1
18,9,4
18,7,5
18,2,5
18,68,2
18,67,1
18,32,2
18,53,4
18,57,3
18,66,3
18,22,5
18,59,3
18,17,5
18,12,5
18,27,5
18,51,5
18,56,2
18,36,3
18,19,4
18,41,3
18,37,2
18,13,4
18,21,4
18,46,3
19,28,4
19,20,4
19,55,2
19,15,4
19,56,3
19,53,4
19,11,5
19,5,5
19,1,4
19,4,5
19,54,5
19,27,5
19,40,3
19,52,4
19,24,4
19,68,2
19,43,1
19,49,5
19,59,2
19,2,4
19,23,4
19,22,5
19,32,3
19,29,4
19,39,2
20,58,2
20,9,5
20,41,2
20,15,4
20,52,5
20,28,5
20,48,1
20,36,3
20,53,5
20,61,1
20,33,2
20,57,2
20,31,4
20,38,2
20,17,4
20,19,4
20,12,5
20,60,1
20,68,1
20,34,2
20,27,5
20,21,4
20,30,5
20,29,4
20,10,5
21,1,4
21,49,4
21,31,5
21,8,5
21,5,5
21,65,3
21,63,2
21,7,5
21,40,2
21,30,4
21,11,5
21,28,4
21,38,1
21,45,3
21,39,1
21,48,1
21,61,1
21,19,4
21,35,2
21,55,3
21,64,1
21,66,3
21,56,3
21,4,4
21,33,3
22,44,2
22,30,5
22,18,4
22,65,3
22,41,2
22,25,5
22,26,4
22,59,2
22,47,3
22,28,4
22,37,3
22,2,5
22,55,3
22,22,4
22,60,3
22,57,2
22,1,4
22,38,1
22,8,5
22,67,1
22,9,5
22,53,4
22,62,2
22,45,1
22,33,1
23,9,4
23,23,5
23,30,4
23,28,4
23,24,5
23,3,5
23,1,5
23,66,1
23,13,4
23,35,3
23,10,4
23,31,5
23,12,5
23,19,4
23,4,5
23,15,4
23,11,5
23,45,3
23,41,2
23,20,5
23,40,3
23,34,1
23,7,5
23,43,2
23,14,5
24,40,3
24,38,2
24,23,5
24,18,5
24,8,4
24,47,3
24,35,3
24,64,2
24,15,5
24,61,2
24,19,5
24,41,2
24,22,4
24,56,2
24,53,5
24,68,1
24,11,4
24,37,1
24,63,3
24,7,4
24,10,4
24,14,5
24,13,4
24,26,4
24,28,5
25,58,1
25,60,1
25,31,5
25,38,2
25,2,5
25,15,5
25,1,4
25,25,4
25,50,4
25,68,2
25,21,4
25,45,1
25,43,2
25,52,4
25,29,4
25,40,2
25,11,4
25,18,4
25,51,4
25,32,2
25,44,1
25,56,2
25,54,5
25,67,3
25,12,4
26,40,5
26,56,4
26,67,5
26,14,3
26,11,3
26,44,4
26,27,1
26,53,3
26,26,3
26,29,2
26,25,1
26,42,4
26,9,3
26,33,5
26,12,1
26,65,4
26,58,5
26,64,5
26,1,3
26,16,2
26,61,5
26,23,1
26,51,2
26,19,1
26,62,5
26,30,2
26,20,3
26,48,5
26,6,3
26,45,5
26,54,1
26,3,2
26,37,5
26,41,4
26,46,4
27,33,5
27,27,2
27,36,4
27,54,2
27,16,1
27,38,5
27,51,3
27,25,2
27,46,5
27,4,3
27,37,5
27,40,4
27,17,3
27,66,4
27,9,2
27,53,3
27,23,2
27,35,5
27,3,3
27,15,3
27,68,5
27,19,3
27,58,5
27,18,3
27,12,3
27,11,1
27,31,2
27,67,4
27,60,4
27,29,2
27,30,2
27,48,5
27,63,4
27,59,4
